stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped, corrAns ,tilt , key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
58,0.5,12.5,68.05326489900472,,68.03781076200539,68.05326489900472,68.55301621300168,68.55301621300168,68.55301621300168,68.853630247002,69.28827693697531,left,-12.5,1,1,0.7266844940022565,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
59,0.5,12.0,69.30260426201858,,69.28842182300286,69.30260426201858,69.80293617001735,69.80293617001735,69.80293617001735,70.10410353698535,70.55494342301972,right,12.0,1,1,0.7463991590193473,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
60,0.5,12.0,70.56904909998411,,70.55505810200702,70.56904909998411,71.07028829900082,71.07028829900082,71.07028829900082,71.3699516269844,71.82134720502654,left,-12.0,1,1,0.7349376630154438,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
61,0.5,12.0,71.83656377298757,,71.82144662801875,71.83656377298757,72.33659106801497,72.33659106801497,72.33659106801497,72.63649839098798,72.88848908100044,left,-12.0,1,1,0.5391488850000314,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
62,0.5,11.5,72.90329520002706,,72.8886010510032,72.90329520002706,73.40407297102502,73.40407297102502,73.40407297102502,73.70441676897462,73.95551207801327,left,-11.5,1,1,0.5345914700301364,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
63,0.5,11.5,73.97019177302718,,73.9556237179786,73.97019177302718,74.47005235601682,74.47005235601682,74.47005235601682,74.77017386298394,75.00572001800174,left,-11.5,1,1,0.52097849996062,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
64,0.5,11.5,75.01956604100997,,75.00581973401131,75.01956604100997,75.5204828659771,75.5204828659771,75.5204828659771,75.8204376490321,76.13779600302223,left,-11.5,1,1,0.6096019850228913,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
65,0.5,11.0,76.15358862798894,,76.13789108302444,76.15358862798894,76.63731901801657,76.63731901801657,76.6536205559969,76.937127718993,77.30608447600389,left,-11.0,1,1,0.6532783010043204,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
66,0.5,11.0,77.32075244799489,,77.3061841870076,77.32075244799489,77.82049768802244,77.82049768802244,77.82049768802244,78.12035556102637,78.42187301901868,right,11.0,1,1,0.584470019035507,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
67,0.5,11.0,78.4368812579778,,78.4220231139916,78.4368812579778,78.92058823799016,78.92058823799016,78.93749064300209,79.22031991701806,79.80637072201353,left,-11.0,1,1,0.8815662490087561,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
68,0.5,10.5,79.82002482598182,,79.80652240698691,79.82002482598182,80.3202853120165,80.3202853120165,80.3202853120165,80.62061625102069,80.68901866697706,left,-10.5,1,1,0.35129365901229903,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
